Mon Aug  9 17:39:48 2021, 0, 1425, 4500, 6, 3630, 0, 7, 975, 0, 4428.39, 1
Mon Aug  9 17:40:49 2021, 0, 1500, 4500, 6, 3630, 0, 7, 900, 0, 4376.77, 1
Mon Aug  9 17:41:49 2021, 0, 1575, 4500, 6, 3630, 0, 7, 750, 0, 4376.77, 1
Mon Aug  9 17:42:50 2021, 0, 1650, 4500, 6, 3630, 0, 7, 675, 0, 4397.42, 1
Mon Aug  9 17:43:50 2021, 0, 1725, 4500, 6, 3630, 0, 7, 600, 0, 4418.06, 1
Mon Aug  9 17:44:51 2021, 0, 1800, 4500, 6, 3630, 0, 7, 525, 0, 4428.39, 1
Mon Aug  9 17:45:51 2021, 0, 1875, 4500, 6, 3630, 0, 7, 375, 0, 4376.77, 1
Mon Aug  9 17:46:52 2021, 0, 1950, 4500, 6, 3630, 0, 7, 300, 0, 4397.42, 1
Mon Aug  9 17:47:52 2021, 0, 2025, 4500, 6, 3630, 0, 7, 225, 0, 4418.06, 1
Mon Aug  9 17:48:53 2021, 0, 2100, 4500, 6, 3630, 0, 7, 225, 0, 4418.06, 1
Mon Aug  9 17:49:53 2021, 0, 2175, 4500, 6, 3630, 0, 7, 75, 0, 4376.77, 1
Mon Aug  9 17:50:54 2021, 0, 2250, 4500, 6, 3630, 0, 7, 75, 0, 4397.42, 1
Mon Aug  9 17:51:54 2021, 0, 2250, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Mon Aug  9 17:52:55 2021, 0, 2250, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Mon Aug  9 17:53:55 2021, 0, 2250, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Mon Aug  9 17:54:56 2021, 0, 2250, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Mon Aug  9 17:55:56 2021, 0, 2250, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Mon Aug  9 17:56:57 2021, 0, 2250, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Mon Aug  9 17:57:57 2021, 0, 2250, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Mon Aug  9 17:58:58 2021, 0, 2250, 0, 6, 3630, 0, 7, 75, 0, 0, 0
